t_s,t_hr_after_36h,equilibrium_active,separation_earth_mars_m,q_osc_earth_mars_m,e_osc_earth_mars,separation_mars_secondary_m,q_osc_mars_secondary_m,e_osc_mars_secondary,separation_earth_secondary_m,q_osc_earth_secondary_m,e_osc_earth_secondary
28200.0,7.833333333333333,,153158089.50661558,10396543.79447273,0.8778363458351254,11705669.401061783,8971692.579285637,0.43269810337255316,143948288.0668007,3525595.3796956027,0.9940744950767763
28500.0,7.916666666666667,,153019958.31355435,10460177.567728436,0.8771932760380166,11924357.352967227,8974472.818061808,0.4332168474741572,143300174.6495808,4520340.130806354,0.9898568272594716
28800.0,8.0,,152879617.7779934,10517622.947209274,0.8766197818673261,12145075.360262664,8977246.363926448,0.43374898796951583,142668836.97467414,5527780.8148948755,0.9845895647475693
29100.0,8.083333333333334,,152737072.20447403,10569260.016617399,0.8761112483173339,12367337.537806414,8979970.491835041,0.4342927486672473,142054222.93084636,6524959.674102059,0.9783866648924916
29400.0,8.166666666666666,,152592328.04143563,10615465.075851627,0.8756631580699056,12590704.30682352,8982600.217909167,0.43484671490699744,141456212.44696525,7494013.114295449,0.9713893717609126
29700.0,8.25,,152445393.4501708,10656605.395297911,0.8752711448069866,12814778.847217623,8985088.787384529,0.4354098142236338,140874628.68898818,8421250.451835504,0.9637528248101203
30000.0,8.333333333333334,,152296277.93280742,10693035.406663505,0.8749310304009554,13039203.591409229,8987388.145415226,0.4359812931808155,140309247.8985578,9296384.330944503,0.9556362775745894
30300.0,8.416666666666666,,152144992.0137886,10725094.06740549,0.8746388491349416,13263656.830749363,8989449.384567404,0.4365606917885431,139759807.97378272,10111896.61260202,0.9471961405153168
30600.0,8.5,,151991546.9691454,10753103.165905217,0.8743908616955144,13487849.482493967,8991223.164799983,0.43714781663519947,139226015.90452424,10862520.410362557,0.9385811895469222
30900.0,8.583333333333334,,151835954.59797332,10777366.366857413,0.8741835612628597,13711522.047414245,8992660.103335414,0.4377427136152019,138707554.17805165,11544819.094496647,0.9299294088948065
31200.0,8.666666666666666,,151678227.0308227,10798168.82798684,0.874013673628436,13934441.77451669,8993711.133094616,0.4383456409204808,138204086.26887482,12156844.78069394,0.9213660507112186
31500.0,8.75,,151518376.57011646,10815777.248488942,0.8738781529132219,14156400.039263904,8994327.829350377,0.4389570427869122,137715261.32090995,12697861.109481566,0.9130025897269981
31800.0,8.833333333333334,,151356415.55817094,10830440.235654777,0.8737741741481356,14377209.93441176,8994462.704984546,0.43957752434260294,137240718.1223507,13168117.508265534,0.9049363288823017
32100.0,8.916666666666666,,151192356.26886448,10842388.898688361,0.873699123713076,14596704.06750079,8994069.475260152,0.44020782778972173,136780088.46475124,13568664.36859071,0.8972504730731589
