radius_key,dynamical_efficiency,sample,outcome,first_contact_time_hr_after_36h,tidal_passage_count,equilibrium_ever_active,outer_position_perturbation_m,outer_velocity_perturbation_m_s,inner_position_perturbation_m,inner_velocity_perturbation_m_s
r95,0.001,21,earth_secondary_contact,28.235740045782087,2,1,119237.6527242448,66.06697607424826,96742.86304261065,17.068072352666118
r95,0.001,22,earth_secondary_contact,29.028869508154,2,0,179727.97926133545,32.7965535774848,65766.80966947554,13.608380293286094
r95,0.001,23,earth_secondary_contact,28.831201211618335,2,1,91564.26639962911,46.035537388073465,58132.1955619765,9.299754602913417
r95,0.001,24,earth_secondary_contact,28.677037551344693,2,1,207867.58692028397,44.09740903357435,107792.91479662708,22.08825205408282
r95,0.001,25,earth_secondary_contact,29.32674820169109,2,0,218632.58363895776,39.24767116513882,93548.21922696901,14.657361594883824
r95,0.001,26,earth_secondary_contact,28.870401010957373,2,0,27852.19109334521,29.172433065491337,104521.98127598285,12.379115931319193
r95,0.001,27,earth_secondary_contact,28.940907334049644,2,0,75116.13301415453,32.12190372707429,48426.42096933376,17.290879088896762
r95,0.001,28,earth_secondary_contact,28.71317528955371,2,0,34004.35809727637,24.000525115616295,98401.0676495183,21.521485349364955
r95,0.001,29,earth_secondary_contact,28.674253202424005,2,1,172551.2799188573,20.845444024298843,104609.50881666438,19.176723399843272
r95,0.001,30,earth_secondary_contact,29.333608971607493,2,0,46044.2094153537,38.886302290249105,155920.00058598624,12.477906795444017
r95,0.001,31,earth_secondary_contact,29.07500258760082,2,0,96462.81777278292,24.98665765957347,96575.24390479586,16.3841503058914
r95,0.01,0,earth_secondary_contact,29.08179910263002,2,0,266911.2745088388,32.980353223859396,50037.386229439886,12.62100978451081
r95,0.01,1,earth_secondary_contact,28.600256999446565,2,1,142099.79477547784,39.13652235662996,59946.1683485837,23.692704487928317
r95,0.01,2,earth_secondary_contact,28.878399302271912,2,0,112980.31964841767,21.65518151875099,73244.91441807665,16.56514193406026
r95,0.01,3,earth_secondary_contact,29.240733883733856,2,0,315207.1854821795,35.82077443861536,58341.51469743168,24.26126951975948
r95,0.01,4,earth_secondary_contact,29.115925085462433,2,0,437222.4176170914,4.1032728720539735,98603.88692556912,16.18317502559737
r95,0.01,5,earth_secondary_contact,29.17316900964863,2,0,67192.13487563617,22.16982555120182,62351.14202285223,5.832818521813881
r95,0.01,6,earth_secondary_contact,28.33513530166733,2,1,130323.74372763422,46.86575674002584,142896.84619933247,12.190669805120232
r95,0.01,7,earth_secondary_contact,29.135230542556947,2,0,90040.29382842888,37.14101378295872,80376.24039256264,15.314812614163932
r95,0.01,8,earth_secondary_contact,29.09602445149843,2,0,212679.49068287062,54.92559360133452,24995.410108921784,8.005688173731098
